AirportID,Name,stadium_name,distance_km,City,Country,IATA,ICAO,airport_lat,airport_lon,Altitude,Timezone,DST,TzDatabaseTimezone,city_name,country,lat,lon
3550,George Bush Intercontinental Houston Airport,NRG Stadium,33.961888491355,Houston,United States,IAH,KIAH,29.984399795532227,-95.34140014648438,97,-6,A,America/Chicago,Houston,USA,29.685,-95.411
3566,William P Hobby Airport,NRG Stadium,13.50183689631557,Houston,United States,HOU,KHOU,29.64539909,-95.27890015,46,-6,A,America/Chicago,Houston,USA,29.685,-95.411
3572,Ellington Airport,NRG Stadium,25.858633267099354,Houston,United States,EFD,KEFD,29.6072998047,-95.1587982178,32,-6,A,America/Chicago,Houston,USA,29.685,-95.411
3576,Miami International Airport,Hard Rock Stadium,19.038357084154843,Miami,United States,MIA,KMIA,25.79319953918457,-80.29060363769531,8,-5,A,America/New_York,Miami Gardens,USA,25.958,-80.239
3577,Seattle Tacoma International Airport,Lumen Field,16.325973089517724,Seattle,United States,SEA,KSEA,47.449001,-122.308998,433,-8,A,America/Los_Angeles,Seattle,USA,47.595,-122.332
3582,Long Beach /Daugherty Field/ Airport,SoFi Stadium,22.897852390344013,Long Beach,United States,LGB,KLGB,33.81769943,-118.1520004,60,-8,A,America/Los_Angeles,Inglewood,USA,33.953,-118.339
3589,Westchester County Airport,MetLife Stadium,41.758227522929516,White Plains,United States,HPN,KHPN,41.06700134277344,-73.70760345458984,439,-5,A,America/New_York,East Rutherford,USA,40.814,-74.075
3624,Teterboro Airport,MetLife Stadium,4.188337718017077,Teterboro,United States,TEB,KTEB,40.85010147089999,-74.060798645,9,-5,A,America/New_York,East Rutherford,USA,40.814,-74.075
3630,Niagara Falls International Airport,BMO Field,69.83926087432089,Niagara Falls,United States,IAG,KIAG,43.1072998046875,-78.94619750976562,589,-5,A,America/New_York,Toronto,Canada,43.633,-79.419
3641,Theodore Francis Green State Airport,Gillette Stadium,41.900951947774345,Providence,United States,PVD,KPVD,41.732601,-71.420403,55,-5,A,America/New_York,Foxborough,USA,42.091,-71.264
3644,Bob Hope Airport,SoFi Stadium,27.604389907302625,Burbank,United States,BUR,KBUR,34.20069885253906,-118.35900115966795,778,-8,A,America/Los_Angeles,Inglewood,USA,33.953,-118.339
3655,Mc Guire Air Force Base,Lincoln Financial Field,50.74540811194994,Wrightstown,United States,WRI,KWRI,40.0155983,-74.59169769,131,-5,A,America/New_York,Philadelphia,USA,39.901,-75.168
3666,Dobbins Air Reserve Base,Mercedes-Benz Stadium,20.773082170529765,Marietta,United States,MGE,KMGE,33.91540146,-84.51629639,1068,-5,A,America/New_York,Atlanta,USA,33.755,-84.401
3670,Dallas Fort Worth International Airport,AT&T Stadium,17.32566211756595,Dallas-Fort Worth,United States,DFW,KDFW,32.896801,-97.038002,607,-6,A,America/Chicago,Dallas,USA,32.748,-97.093
3672,McChord Air Force Base,Lumen Field,51.99312905264441,Tacoma,United States,TCM,KTCM,47.1376991272,-122.475997925,322,-8,A,America/Los_Angeles,Seattle,USA,47.595,-122.332
3679,Millville Municipal Airport,Lincoln Financial Field,59.85382279332271,Millville,United States,MIV,KMIV,39.367802,-75.072197,85,-5,A,America/New_York,Philadelphia,USA,39.901,-75.168
3682,Hartsfield Jackson Atlanta International Airport,Mercedes-Benz Stadium,13.391164143384923,Atlanta,United States,ATL,KATL,33.6367,-84.428101,1026,-5,A,America/New_York,Atlanta,USA,33.755,-84.401
3697,La Guardia Airport,MetLife Stadium,17.522735019743976,New York,United States,LGA,KLGA,40.77719879,-73.87259674,21,-5,A,America/New_York,East Rutherford,USA,40.814,-74.075
3721,Dade Collier Training and Transition Airport,Hard Rock Stadium,66.67566948484634,Miami,United States,TNT,KTNT,25.861799240112,-80.897003173828,13,-5,A,America/New_York,Miami Gardens,USA,25.958,-80.239
3723,Fort Worth Meacham International Airport,AT&T Stadium,26.419356437631766,Fort Worth,United States,FTW,KFTW,32.819801,-97.362396,710,-6,A,America/Chicago,Dallas,USA,32.748,-97.093
3726,Boeing Field King County International Airport,Lumen Field,7.5701675398212105,Seattle,United States,BFI,KBFI,47.529998779296875,-122.302001953125,21,-8,A,America/Los_Angeles,Seattle,USA,47.595,-122.332
3734,Ontario International Airport,SoFi Stadium,68.98613837888723,Ontario,United States,ONT,KONT,34.055999755859375,-117.60099792480467,944,-8,A,America/Los_Angeles,Inglewood,USA,33.953,-118.339
