camp_airport_dist_km,AirportID,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,TzDatabaseTimezone,Type,team,city_camp,country_camp,camp_name,camp_lat,camp_long
68.95342040007071,3447,Trenton Mercer Airport,Trenton,USA,TTN,KTTN,40.27669906616211,-74.8134994506836,213,-5,A,America/New_York,airport,Ivory Coast,Philadelphie,USA,Philadelphia Union,39.8322,-75.3784
47.74885290552437,3447,Trenton Mercer Airport,Trenton,USA,TTN,KTTN,40.27669906616211,-74.8134994506836,213,-5,A,America/New_York,airport,Morocco,New York New Jersey,USA,The Pingry School,40.668,-74.581
42.23061316120769,3447,Trenton Mercer Airport,Trenton,USA,TTN,KTTN,40.27669906616211,-74.8134994506836,213,-5,A,America/New_York,airport,Senegal,New York New Jersey,USA,Rutgers University,40.524,-74.435
17.963796851529413,3448,General Edward Lawrence Logan International Airport,Boston,USA,BOS,KBOS,42.36429977,-71.00520325,20,-5,A,America/New_York,airport,France,Boston,USA,Bentley University,42.3905,-71.221
66.17093213774052,3448,General Edward Lawrence Logan International Airport,Boston,USA,BOS,KBOS,42.36429977,-71.00520325,20,-5,A,America/New_York,airport,Ghana,Boston,USA,Bryant University,41.9173,-71.535
61.65443755366855,3449,Travis Air Force Base,Fairfield,USA,SUU,KSUU,38.262699127197,-121.92700195312,62,-8,A,America/Los_Angeles,airport,Australia,San Francisco Bay Area,USA,Oakland Roots/Soul Training Facility,37.7505,-122.1965
3.89690348269755,3453,Metropolitan Oakland International Airport,Oakland,USA,OAK,KOAK,37.721298,-122.221001,9,-8,A,America/Los_Angeles,airport,Australia,San Francisco Bay Area,USA,Oakland Roots/Soul Training Facility,37.7505,-122.1965
49.058233494740946,3453,Metropolitan Oakland International Airport,Oakland,USA,OAK,KOAK,37.721298,-122.221001,9,-8,A,America/Los_Angeles,airport,Paraguay,San Francisco Bay Area,USA,Spartan Soccer Complex,37.346,-121.9285
60.35102989591074,3458,Kansas City International Airport,Kansas City,USA,MCI,KMCI,39.2976,-94.713898,1026,-6,A,America/Chicago,airport,Algeria,Kansas City,USA,University of Kansas,38.9543,-95.2558
37.23194342445022,3458,Kansas City International Airport,Kansas City,USA,MCI,KMCI,39.2976,-94.713898,1026,-6,A,America/Chicago,airport,Argentina,Kansas City,USA,Sporting KC Training Centre,38.9714,-94.8113
33.869884360187115,3458,Kansas City International Airport,Kansas City,USA,MCI,KMCI,39.2976,-94.713898,1026,-6,A,America/Chicago,airport,England,Kansas City,USA,Swope Soccer Village,39.0247,-94.5394
18.832904935587642,3458,Kansas City International Airport,Kansas City,USA,MCI,KMCI,39.2976,-94.713898,1026,-6,A,America/Chicago,airport,Netherlands,Kansas City,USA,KC Current Training Facility,39.149,-94.609
31.7906497640273,3462,Phoenix Sky Harbor International Airport,Phoenix,USA,PHX,KPHX,33.43429946899414,-112.01200103759766,1135,-7,N,America/Phoenix,airport,Türkiye,Mesa,USA,Arizona Athletic Grounds,33.355,-111.683
20.4406609441132,3464,Fort Lauderdale Executive Airport,Fort Lauderdale,USA,FXE,KFXE,26.1972999573,-80.1707000732,13,-5,A,America/New_York,airport,Curaçao,Boca Raton,USA,Florida Atlantic University,26.3705,-80.102
11.473727689207106,3467,Spokane International Airport,Spokane,USA,GEG,KGEG,47.61989974975586,-117.53399658203124,2376,-8,A,America/Los_Angeles,airport,Egypt,Spokane,USA,Gonzaga University,47.668,-117.3985
