AirportID,Name,City,Country,IATA,ICAO,stadium_name,distance_km
3803,Willow Grove Naval Air Station/Joint Reserve Base,Willow Grove,United States,NXX,KNXX,Lincoln Financial Field,33.26759794965534
9249,Brandywine Airport,West Goshen Township,United States,\N,KOQN,Lincoln Financial Field,36.648892279389955
3859,New Castle Airport,Wilmington,United States,ILG,KILG,Lincoln Financial Field,44.88559617465529
9763,Doylestown Airport,Doylestown,United States,DYL,KDYL,Lincoln Financial Field,48.19316374055929
3726,Boeing Field King County International Airport,Seattle,United States,BFI,KBFI,Lumen Field,7.5701675398212105
8796,Renton Municipal Airport,Renton,United States,RNT,KRNT,Lumen Field,14.289613132623073
3577,Seattle Tacoma International Airport,Seattle,United States,SEA,KSEA,Lumen Field,16.325973089517724
6455,Berkley Structures Heliport,Pagerungan,Indonesia,\N,WA19,Lumen Field,16.816362380775896
6445,Bremerton National Airport,Bremerton,United States,PWT,KPWT,Lumen Field,34.5273636264243
3822,Snohomish County (Paine Field) Airport,Everett,United States,PAE,KPAE,Lumen Field,34.81621121254547
8446,Tacoma Narrows Airport,Tacoma,United States,TIW,KTIW,Lumen Field,40.80847994172695
7497,Fulton County Airport Brown Field,Atlanta,United States,FTY,KFTY,Mercedes-Benz Stadium,11.447476564434536
3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,KATL,Mercedes-Benz Stadium,13.391164143384923
7654,DeKalb Peachtree Airport,Atlanta,United States,PDK,KPDK,Mercedes-Benz Stadium,16.231922413000778
3666,Dobbins Air Reserve Base,Marietta,United States,MGE,KMGE,Mercedes-Benz Stadium,20.773082170529765
7712,Cobb County-Mc Collum Field,Atlanta,United States,\N,KRYY,Mercedes-Benz Stadium,34.014854524856176
9066,Henry County Airport,Hampton,United States,\N,K4A7,Mercedes-Benz Stadium,41.17977876128824
8291,Earl L. Small Jr. Field/Stockmar Airport,Villa Rica,United States,\N,20GA,Mercedes-Benz Stadium,44.717571550959384
8306,Peachtree City Falcon Field,Atlanta,United States,\N,KFFC,Mercedes-Benz Stadium,46.969114629183295
7847,Gwinnett County Briscoe Field,Lawrenceville,United States,LZU,KLZU,Mercedes-Benz Stadium,47.48987645200552
8321,Mallards Landing Airport,Locust Grove,United States,\N,GA04,Mercedes-Benz Stadium,48.48966823095273
3624,Teterboro Airport,Teterboro,United States,TEB,KTEB,MetLife Stadium,4.188337718017077
7729,West 30th St. Heliport,New York,United States,JRA,KJRA,MetLife Stadium,8.743560860028683
8123,One Police Plaza Heliport,New York,United States,\N,NK39,MetLife Stadium,12.940225807781054
3993,Downtown-Manhattan/Wall St Heliport,New York,United States,JRB,KJRB,MetLife Stadium,13.719539614084068
3494,Newark Liberty International Airport,Newark,United States,EWR,KEWR,MetLife Stadium,15.646640584080043
3697,La Guardia Airport,New York,United States,LGA,KLGA,MetLife Stadium,17.522735019743976
7990,Essex County Airport,Caldwell,United States,CDW,KCDW,MetLife Stadium,18.648003268049045
8550,Linden Airport,Linden,United States,LDJ,KLDJ,MetLife Stadium,26.119132644666585
7657,Morristown Municipal Airport,Morristown,United States,MMU,KMMU,MetLife Stadium,28.654010009457583
3797,John F Kennedy International Airport,New York,United States,JFK,KJFK,MetLife Stadium,31.587429540689712
3589,Westchester County Airport,White Plains,United States,HPN,KHPN,MetLife Stadium,41.758227522929516
3566,William P Hobby Airport,Houston,United States,HOU,KHOU,NRG Stadium,13.50183689631557
9225,Andrau Airpark,Houston,United States,AAP,KAAP,NRG Stadium,17.624917613868675
4220,Sugar Land Regional Airport,Sugar Land,United States,SGR,KSGR,NRG Stadium,24.726591594811804
3572,Ellington Airport,Houston,United States,EFD,KEFD,NRG Stadium,25.858633267099354
4226,West Houston Airport,Houston,United States,IWS,KIWS,NRG Stadium,29.277031205630024
3550,George Bush Intercontinental Houston Airport,Houston,United States,IAH,KIAH,NRG Stadium,33.961888491355
4065,David Wayne Hooks Memorial Airport,Houston,United States,DWH,KDWH,NRG Stadium,44.0727144290886
3508,Jack Northrop Field Hawthorne Municipal Airport,Hawthorne,United States,HHR,KHHR,SoFi Stadium,3.3785316087562416
