origin_stadium,destination_stadium,total_direct_flights,n_direct_routes,n_reachable_routes,avg_direct_distance_km,avg_path_distance_km,min_path_distance_km,avg_drive_distance_km,haversine_distance
MetLife Stadium,Levi's Stadium,11,4,18,4132.528748373911,4862.657230344181,4118.400577733477,53.411591152353374,4098.447550496141
MetLife Stadium,Lincoln Financial Field,7,4,18,154.6896143655809,2469.085784028097,128.84356361715297,57.704636839386794,137.41523711844584
MetLife Stadium,Lumen Field,8,2,6,3870.72604065637,4350.6088263199035,3854.8141768260725,39.552203155337374,3855.2701518998824
MetLife Stadium,Mercedes-Benz Stadium,24,4,6,1225.4311157804382,1400.8854240463315,1199.3163539241523,36.617394209204576,1202.8946867916125
MetLife Stadium,NRG Stadium,6,5,12,2277.6772341408578,2459.196532187591,2250.5450864304935,46.95809275965493,2289.316410501979
MetLife Stadium,SoFi Stadium,13,5,36,3947.9454981925483,9243.601193576556,3907.7792115707102,58.458359683248304,3941.7885353845436
NRG Stadium,AT&T Stadium,8,4,4,373.78291171653825,373.78291171653825,349.0842905807613,44.941573834960295,376.2612542579268
NRG Stadium,Arrowhead Stadium,3,2,2,1055.8398030637372,1055.8398030637372,1037.1619809238491,57.744836427275246,1044.6812689136077
NRG Stadium,BC Place,1,1,8,3169.365226691892,4324.631521530363,3169.365226691892,73.87101436354129,3191.3385244470182
NRG Stadium,BMO Field,2,1,8,2060.0815779209825,3638.2048464229624,2060.0815779209825,62.5880950499539,2099.703545302651
NRG Stadium,Estadio Akron,1,1,2,1321.6909306651462,1372.2903351616665,1321.6909306651462,48.41583742090921,1286.5752478614622
NRG Stadium,Estadio Azteca,4,1,4,1231.6788840207287,3277.1445721038954,1231.6788840207287,54.07626836146223,1214.6078051628317
NRG Stadium,Estadio BBVA,3,2,4,700.0278321684469,2896.0692449863136,661.7451323147941,67.85008603728612,652.6812490928555
NRG Stadium,Gillette Stadium,4,3,8,2560.280808974195,2858.2709743191817,2526.2825897279936,70.17561475109703,2561.821224911351
NRG Stadium,Hard Rock Stadium,5,3,4,1546.256115075356,1679.0034374939346,1537.827968230056,40.94432277940588,1547.1357502689045
NRG Stadium,Levi's Stadium,4,3,6,2616.2616023589717,4311.527615219441,2583.2203714518487,53.917223780369,2596.1773940840685
NRG Stadium,Lincoln Financial Field,3,1,6,2129.4835092014905,2759.4377514983644,2129.4835092014905,58.21026946740242,2161.822357759667
NRG Stadium,Lumen Field,3,1,2,3013.4051415870726,4802.9141973511405,3013.4051415870726,40.057835783353006,3043.468437692507
NRG Stadium,Mercedes-Benz Stadium,15,2,2,1112.871709607,1112.871709607,1107.5625747320166,37.12302683722021,1134.634078690825
NRG Stadium,MetLife Stadium,6,5,12,2277.6772341408578,3657.8039048377304,2250.5450864304935,46.95809275965493,2289.316410501979
NRG Stadium,SoFi Stadium,11,5,12,2186.4533267582174,7962.397335972302,2142.2616793929565,58.96399231126393,2212.682848365275
SoFi Stadium,AT&T Stadium,11,3,12,1942.1250710001195,7813.407688880686,1908.3421049477743,56.44184075855366,1974.4263964103886
SoFi Stadium,Arrowhead Stadium,2,1,6,2189.652649150308,7273.047162813728,2189.652649150308,69.24510335086862,2199.131960322046
SoFi Stadium,BC Place,8,3,24,1735.8264309911303,7541.574171306653,1686.1963577231272,85.37128128713466,1748.6211773261903
SoFi Stadium,BMO Field,5,1,24,3493.9481090046993,9485.135406061296,3452.0203314400533,74.08836197354726,3504.4115924053435
SoFi Stadium,Estadio Akron,11,3,6,2071.1640150979256,7723.676101992441,2048.6739107625503,59.91610434450258,2076.9971661405443
SoFi Stadium,Estadio Azteca,9,2,12,2471.077725717084,8845.547315145232,2442.1539171581308,65.5765352850556,2499.9302299004244
SoFi Stadium,Estadio BBVA,0,0,12,,9122.591821067246,2190.876463460221,79.35035296087949,1969.3889126541155
SoFi Stadium,Gillette Stadium,8,2,24,4185.708338961977,9158.21185351722,4111.174511422473,81.67588167469039,4167.297114126398
SoFi Stadium,Hard Rock Stadium,7,2,12,3762.925535690281,8692.270833104565,3707.2660602333535,52.44458970299925,3753.9284703391622
SoFi Stadium,Levi's Stadium,30,14,18,549.5234373326438,6154.786333057746,476.70097749350543,65.41749070396237,504.61303390759673
SoFi Stadium,Lincoln Financial Field,3,1,18,3856.31491079229,8678.129003470814,3788.960447738359,69.71053639099578,3855.9831142778567
SoFi Stadium,Lumen Field,14,5,6,1543.6396443327953,6583.388782722152,1509.6356444261412,51.55810270694638,1553.1756963235448
SoFi Stadium,Mercedes-Benz Stadium,13,2,6,3103.5254099642193,7759.7378186114365,3081.2742935682472,48.623293760813574,3119.459173344489
SoFi Stadium,MetLife Stadium,13,5,36,3947.9454981925483,8929.313933480467,3907.7792115707102,58.458359683248304,3941.7885353845436
SoFi Stadium,NRG Stadium,10,5,12,2186.4533267582174,7898.383176096994,2142.2616793929565,58.96399231126393,2212.682848365275
