camp_AirportID,camp_name,camp_airport_name,stad_AirportID,stadium_name,stad_airport_name,camp_team,flight_direct_distance_km,has_direct_flight,n_direct_flights,has_any_path,n_layovers,layover_airports,path_distance_km,camp_airport_dist_km,camp_airport_city,camp_Country,camp_IATA,camp_ICAO,camp_airport_lat,camp_airport_lon,camp_Altitude,camp_Timezone,camp_DST,camp_TzDatabaseTimezone,camp_city,camp_country,camp_camp_lat,camp_camp_long,stad_airport_dist_km,stad_City,stad_Country,stad_IATA,stad_ICAO,stad_airport_lat,stad_airport_lon,stad_Altitude,stad_Timezone,stad_DST,stad_TzDatabaseTimezone,stad_city_name,stad_country,stad_lat,stad_lon,stad_camp_direct_distance_km
33,National Soccer Development Centre,Nanaimo Airport,3448,Gillette Stadium,General Edward Lawrence Logan International Airport,Canada,4085.9548917043344,False,0,True,2.0,"[156.0, 3670.0]",5380.859550125191,49.69504443110012,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,92,-8,A,America/Vancouver,Vancouver,CAN,49.2444,-123.251,37.115802032334706,Boston,United States,BOS,KBOS,42.36429977,-71.00520325,20,-5,A,America/New_York,Foxborough,USA,42.091,-71.264,4034.441914244245
33,National Soccer Development Centre,Nanaimo Airport,3453,Levi's Stadium,Metropolitan Oakland International Airport,Canada,1267.1861861605905,False,0,True,2.0,"[156.0, 3670.0]",5211.11786615945,49.69504443110012,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,92,-8,A,America/Vancouver,Vancouver,CAN,49.2444,-123.251,41.73900124136388,Oakland,United States,OAK,KOAK,37.721298,-122.221001,9,-8,A,America/Los_Angeles,Santa Clara,USA,37.403,-121.97,1320.721586467942
33,National Soccer Development Centre,Nanaimo Airport,3458,Arrowhead Stadium,Kansas City International Airport,Canada,2544.851029996913,False,0,True,2.0,"[156.0, 3670.0]",3613.245942338274,49.69504443110012,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,92,-8,A,America/Vancouver,Vancouver,CAN,49.2444,-123.251,34.012973733439964,Kansas City,United States,MCI,KMCI,39.2976,-94.713898,1026,-6,A,America/Chicago,Kansas City,USA,39.049,-94.484,2538.9359342837633
33,National Soccer Development Centre,Nanaimo Airport,3469,Levi's Stadium,San Francisco International Airport,Canada,1277.286018550977,False,0,True,1.0,[156.0],1340.9526135959306,49.69504443110012,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,92,-8,A,America/Vancouver,Vancouver,CAN,49.2444,-123.251,43.04604747484669,San Francisco,United States,SFO,KSFO,37.61899948120117,-122.375,13,-8,A,America/Los_Angeles,Santa Clara,USA,37.403,-121.97,1320.721586467942
33,National Soccer Development Centre,Nanaimo Airport,3484,SoFi Stadium,Los Angeles International Airport,Canada,1739.7274888918414,False,0,True,1.0,[156.0],1793.1314264205441,49.69504443110012,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,92,-8,A,America/Vancouver,Vancouver,CAN,49.2444,-123.251,6.470576991951525,Los Angeles,United States,LAX,KLAX,33.94250107,-118.4079971,125,-8,A,America/Los_Angeles,Inglewood,USA,33.953,-118.339,1747.7260755887805
33,National Soccer Development Centre,Nanaimo Airport,3494,MetLife Stadium,Newark Liberty International Airport,Canada,3950.2844220535344,False,0,True,1.0,[156.0],3951.409191794405,49.69504443110012,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,92,-8,A,America/Vancouver,Vancouver,CAN,49.2444,-123.251,15.646640584080044,Newark,United States,EWR,KEWR,40.692501068115234,-74.168701171875,18,-5,A,America/New_York,East Rutherford,USA,40.814,-74.075,3903.3741279342944
33,National Soccer Development Centre,Nanaimo Airport,3502,AT&T Stadium,Dallas Love Field,Canada,2871.0202642185777,False,0,True,2.0,"[156.0, 3550.0]",3570.694489823643,49.69504443110012,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,92,-8,A,America/Vancouver,Vancouver,CAN,49.2444,-123.251,25.093760164684063,Dallas,United States,DAL,KDAL,32.847099,-96.851799,487,-6,A,America/Chicago,Dallas,USA,32.748,-97.093,2835.212946251777
33,National Soccer Development Centre,Nanaimo Airport,3533,Hard Rock Stadium,Fort Lauderdale Hollywood International Airport,Canada,4532.522143004232,False,0,True,2.0,"[156.0, 3670.0]",4670.514599898673,49.69504443110012,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,92,-8,A,America/Vancouver,Vancouver,CAN,49.2444,-123.251,15.386563086986357,Fort Lauderdale,United States,FLL,KFLL,26.072599,-80.152702,9,-5,A,America/New_York,Miami Gardens,USA,25.958,-80.239,4499.838561514714
33,National Soccer Development Centre,Nanaimo Airport,3550,NRG Stadium,George Bush Intercontinental Houston Airport,Canada,3203.880757882396,False,0,True,1.0,[178.0],3551.0014761583984,49.69504443110012,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,92,-8,A,America/Vancouver,Vancouver,CAN,49.2444,-123.251,33.961888491355,Houston,United States,IAH,KIAH,29.984399795532227,-95.34140014648438,97,-6,A,America/Chicago,Houston,USA,29.685,-95.411,3197.8778068067672
33,National Soccer Development Centre,Nanaimo Airport,3566,NRG Stadium,William P Hobby Airport,Canada,3236.5227641655856,False,0,True,2.0,"[156.0, 3670.0]",3269.8939690689176,49.69504443110012,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,92,-8,A,America/Vancouver,Vancouver,CAN,49.2444,-123.251,13.50183689631557,Houston,United States,HOU,KHOU,29.64539909,-95.27890015,46,-6,A,America/Chicago,Houston,USA,29.685,-95.411,3197.8778068067672
