phase,status,runtime_s,UB,LB,gap,unit
Broadcast penalty,Optimal,38.0,15655.2434,15655.2434,0.0,
Elevation gain,Time limit,7000.8,2499.0,2440.0,0.0236,m
Temperature shock,Time limit,7000.5,537.6174,500.1824,0.0696,°C
Camp distances,Time limit,7000.1,315047.6844,214231.7345,0.32,km
Stadium distances,Time limit,7000.1,150546.4404,67372.8339,0.5525,km
