#match,group,date,local_time,stadium,city,country,day,UTC_Offset,side,opponent,localtime,country_odds,opponent_odds,country_weighted,opponent_weighted,p_win,closeness,trends_interest_per_capita,game_weight_for_country,local_hour
45,K,2026-06-23,13.0,NRG Stadium,Houston,Portugal,2,-5,team_1,Uzbekistan,18.0,Portugal,Uzbekistan,Portugal,Uzbekistan,0.780376966659271,0.605193793141346,94500000.0,571.9081345185721,18
35,E,2026-06-20,20.0,Arrowhead Stadium,Kansas City,Ecuador,2,-5,team_1,Curaçao,20.0,Ecuador,Curaçao,Ecuador,Curaçao,0.7621264346688921,0.6351646333335227,129500000.0,822.5382001669119,20
58,F,2026-06-25,19.0,Arrowhead Stadium,Kansas City,Tunisia,3,-5,team_1,Netherlands,1.0,Tunisia,Netherlands,Tunisia,Netherlands,0.1573218135483119,0.8488460651185701,84000000.0,713.0306946995988,1
12,F,2026-06-14,22.0,Estadio BBVA,Monterrey,Sweden,1,-6,team_1,Tunisia,5.0,Sweden,Tunisia,Sweden,Tunisia,0.4876717327725951,0.95151574087613,73500000.0,699.3640695439557,5
19,J,2026-06-16,21.0,Arrowhead Stadium,Kansas City,Argentina,1,-5,team_1,Algeria,23.0,Argentina,Algeria,Argentina,Algeria,0.6754669028227119,0.765125963356679,188000000.0,1438.4368111105566,23
36,F,2026-06-20,0.0,Estadio BBVA,Monterrey,Tunisia,2,-6,team_1,Japan,7.0,Tunisia,Japan,Tunisia,Japan,0.2063945122249603,0.9341000177141868,84000000.0,784.6440148799169,7
71,J,2026-06-27,22.0,Arrowhead Stadium,Kansas City,Algeria,3,-5,team_1,Austria,4.0,Algeria,Austria,Algeria,Austria,0.2677557606061063,0.97560934848284,220000000.0,2146.340566662248,4
26,B,2026-06-18,15.0,SoFi Stadium,Los Angeles,Switzerland,2,-7,team_1,Bosnia and Herzegovina,23.0,Switzerland,Bosnia & Herzegovina,Switzerland,Bosnia & Herzegovina,0.6059795378427127,0.8523975357822409,69600000.0,593.2686849044396,23
14,G,2026-06-15,15.0,BC Place,Vancouver,Belgium,1,-7,team_1,Egypt,23.0,Belgium,Egypt,Belgium,Egypt,0.5681323173991291,0.8923289053161562,69000000.0,615.7069446681478,23
4,D,2026-06-12,21.0,SoFi Stadium,Los Angeles,USA,1,-7,team_1,Paraguay,9.0,USA,Paraguay,USA,Paraguay,0.4761113678687317,0.960062779385906,5780000000.0,55491.62864850536,9
59,D,2026-06-25,22.0,SoFi Stadium,Los Angeles,Türkiye,3,-7,team_1,USA,8.0,Turkey,USA,Turkey,USA,0.3458488705707241,0.99327277437497,344000000.0,3416.8583438498968,8
40,G,2026-06-21,21.0,BC Place,Vancouver,New Zealand,2,-7,team_1,Egypt,16.0,New Zealand,Egypt,New Zealand,Egypt,0.1938457894213087,0.9074930171798968,93600000.0,849.4134640803835,16
16,G,2026-06-15,21.0,SoFi Stadium,Los Angeles,Iran,1,-7,team_1,New Zealand,7.5,Iran,New Zealand,Iran,New Zealand,0.5065622077623214,0.9395625182202948,91000000.0,855.0018915804683,7
66,G,2026-06-26,23.0,BC Place,Vancouver,New Zealand,3,-7,team_1,Belgium,18.0,New Zealand,Belgium,New Zealand,Belgium,0.0965700992794248,0.6785819450862292,93600000.0,635.1527006007105,18
38,G,2026-06-21,15.0,SoFi Stadium,Los Angeles,Belgium,2,-7,team_1,Iran,23.0,Belgium,Iran,Belgium,Iran,0.660997075836671,0.7872954340641494,69000000.0,543.233849504263,23
1,A,2026-06-11,15.0,Estadio Azteca,Mexico City,Mexico,1,-6,team_1,South Africa,15.0,Mexico,South Africa,Mexico,South Africa,0.643253535585145,0.8066831362395448,896000000.0,7227.880900706321,15
53,A,2026-06-24,21.0,Estadio Azteca,Mexico City,Czechia,3,-6,team_1,Mexico,4.0,Czech Republic,Mexico,Czech Republic,Mexico,0.2467425452655173,0.9626170172651494,63000000.0,606.4487208770441,4
24,K,2026-06-17,22.0,Estadio Azteca,Mexico City,Uzbekistan,1,-6,team_1,Colombia,9.0,Uzbekistan,Colombia,Uzbekistan,Colombia,0.1191849920201558,0.770462070772218,238000000.0,1833.6997284378788,9
51,C,2026-06-24,18.0,Hard Rock Stadium,Miami,Scotland,3,-4,team_1,Brazil,22.0,Scotland,Brazil,Scotland,Brazil,0.1213506675408487,0.7620564601600168,60500000.0,461.04415839681013,22
64,H,2026-06-26,20.0,Estadio Akron,Guadalajara,Uruguay,3,-6,team_1,Spain,23.0,Uruguay,Spain,Uruguay,Spain,0.1834453216576465,0.8834038776424702,20400000.0,180.2143910390639,23
15,H,2026-06-15,18.0,Hard Rock Stadium,Miami,Saudi Arabia,1,-4,team_1,Uruguay,1.0,Saudi Arabia,Uruguay,Saudi Arabia,Uruguay,0.1466132059284984,0.8273040771552523,288000000.0,2382.6357422071264,1
39,H,2026-06-21,18.0,Hard Rock Stadium,Miami,Uruguay,2,-4,team_1,Cape Verde,19.0,Uruguay,Cape Verde,Uruguay,Cape Verde,0.6533966521117216,0.7970538613210656,20400000.0,162.59898770949738,19
69,K,2026-06-27,19.5,Hard Rock Stadium,Miami,Colombia,3,-4,team_1,Portugal,18.5,Colombia,Portugal,Colombia,Portugal,0.275348001957514,0.9778908132968446,260000000.0,2542.5161145717957,18
6,C,2026-06-13,18.0,MetLife Stadium,New Jersey,Brazil,1,-4,team_1,Morocco,19.0,Brazil,Morocco,Brazil,Morocco,0.5864466549937726,0.8727022058835693,645000000.0,5628.929227949022,19
55,E,2026-06-25,16.0,MetLife Stadium,New Jersey,Ecuador,3,-4,team_1,Germany,15.0,Ecuador,Germany,Ecuador,Germany,0.1890471395427665,0.8949013779760656,129500000.0,1158.897284479005,15
