match,group,date,time,tz,team1,team2,stadium,city_name,country,lat,lon
62,I,2026-06-26,15:00,UTC-4,Senegal,Iraq,BMO Field,Toronto,Canada,43.633,-79.419
19,J,2026-06-16,20:00,UTC-5,Argentina,Algeria,Arrowhead Stadium,Kansas City,USA,39.049,-94.484
20,J,2026-06-16,21:00,UTC-7,Austria,Jordan,Levi's Stadium,Santa Clara,USA,37.403,-121.97
43,J,2026-06-22,12:00,UTC-5,Argentina,Austria,AT&T Stadium,Dallas,USA,32.748,-97.093
44,J,2026-06-22,20:00,UTC-7,Jordan,Algeria,Levi's Stadium,Santa Clara,USA,37.403,-121.97
69,J,2026-06-27,21:00,UTC-5,Algeria,Austria,Arrowhead Stadium,Kansas City,USA,39.049,-94.484
70,J,2026-06-27,21:00,UTC-5,Jordan,Argentina,AT&T Stadium,Dallas,USA,32.748,-97.093
23,K,2026-06-17,12:00,UTC-5,Portugal,DR Congo,NRG Stadium,Houston,USA,29.685,-95.411
24,K,2026-06-17,20:00,UTC-6,Uzbekistan,Colombia,Estadio Azteca,Mexico City,Mexico,19.303,-99.151
47,K,2026-06-23,12:00,UTC-5,Portugal,Uzbekistan,NRG Stadium,Houston,USA,29.685,-95.411
48,K,2026-06-23,20:00,UTC-6,Colombia,DR Congo,Estadio Akron,Zapopan,Mexico,20.689,-103.467
71,K,2026-06-27,19:30,UTC-4,Colombia,Portugal,Hard Rock Stadium,Miami Gardens,USA,25.958,-80.239
72,K,2026-06-27,19:30,UTC-4,DR Congo,Uzbekistan,Mercedes-Benz Stadium,Atlanta,USA,33.755,-84.401
22,L,2026-06-17,15:00,UTC-5,England,Croatia,AT&T Stadium,Dallas,USA,32.748,-97.093
21,L,2026-06-17,19:00,UTC-4,Ghana,Panama,BMO Field,Toronto,Canada,43.633,-79.419
45,L,2026-06-23,16:00,UTC-4,England,Ghana,Gillette Stadium,Foxborough,USA,42.091,-71.264
46,L,2026-06-23,19:00,UTC-4,Panama,Croatia,BMO Field,Toronto,Canada,43.633,-79.419
67,L,2026-06-27,17:00,UTC-4,Panama,England,MetLife Stadium,East Rutherford,USA,40.814,-74.075
68,L,2026-06-27,17:00,UTC-4,Croatia,Ghana,Lincoln Financial Field,Philadelphia,USA,39.901,-75.168
