month,day,hour,stadium,city,latitude,longitude,utc_offset_seconds,timezone,timezone_abbreviation,elevation,temperature_2m,relative_humidity_2m,apparent_temperature
6,11,14,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,20.486666666666668,62.666666666666664,20.386666666666667
6,11,15,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,20.413333333333334,63.93333333333333,20.10666666666667
6,11,16,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,20.32,65.4,19.826666666666664
6,11,17,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,20.199999999999996,66.13333333333334,19.453333333333333
6,11,18,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,20.166666666666668,65.73333333333333,19.253333333333334
6,11,19,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,19.839999999999996,67.06666666666666,18.993333333333336
6,11,20,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,19.060000000000002,70.6,18.366666666666667
6,11,21,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,18.280000000000005,74.46666666666667,17.779999999999998
6,11,22,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,17.693333333333335,77.33333333333333,17.100000000000005
6,11,23,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,16.94,74.66666666666667,16.02
6,12,0,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,16.766666666666666,77.66666666666667,15.8
6,12,1,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,16.346666666666668,84.4,15.66
6,12,2,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,15.946666666666667,84.8,15.266666666666664
6,12,3,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,15.620000000000001,84.0,14.833333333333332
6,12,4,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,15.406666666666668,82.73333333333333,14.393333333333333
6,12,5,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,15.213333333333336,82.33333333333333,14.066666666666665
6,12,6,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,15.326666666666666,81.53333333333333,14.206666666666667
6,12,7,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,15.786666666666667,80.0,14.826666666666664
6,12,8,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,16.513333333333335,77.93333333333334,15.833333333333334
6,12,9,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,17.186666666666667,76.6,16.686666666666664
6,12,10,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,18.0,74.86666666666666,17.7
6,12,11,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,18.933333333333334,72.06666666666666,18.880000000000003
6,12,12,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,19.906666666666663,68.73333333333333,20.3
6,12,13,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,20.673333333333332,66.33333333333333,21.486666666666668
6,12,14,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,21.14666666666666,65.13333333333334,22.0
6,12,15,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,21.57333333333333,63.333333333333336,22.19333333333333
6,12,16,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,21.69333333333333,62.13333333333333,22.006666666666668
