phase,status,runtime_s,UB,LB,gap,unit
Camp distances,Optimal,2971.9,141660.449,141647.797,0.0001,km
Elevation gain,Time limit,3601.2,2942.0,2041.0,0.3063,m
Temperature shock,Time limit,3601.8,645.4085,357.8303,0.4456,°C
Stadium distances,Time limit,3600.4,77641.4398,63643.7414,0.1803,km
Broadcast penalty,Time limit,3601.7,203113.3457,32265.6267,0.8411,
