phase,status,runtime_s,UB,LB,gap,unit
Broadcast penalty,Optimal,265.1,4880.8699,4880.8699,0.0,
Elevation gain,Time limit,3600.1,2403.0,2369.0,0.0141,m
Temperature shock,Time limit,3600.2,666.2706,625.5671,0.0611,°C
Camp distances,Time limit,3601.8,331705.1186,273767.6895,0.1747,km
Stadium distances,Time limit,3601.8,175604.0898,90516.967,0.4845,km
