phase,status,runtime_s,UB,LB,gap,unit
Stadium distances,Time limit,3600.2,36991.0392,9461.0472,0.7442,km
Camp distances,Time limit,3604.0,416724.3694,155583.8799,0.6267,km
Broadcast penalty,Time limit,3600.1,29417.364,4880.8699,0.8341,
Temperature shock,Time limit,3601.4,966.1101,327.1641,0.6614,°C
Elevation gain,Time limit,3601.7,25753.0,413.0,0.984,m
